gene_symbol	ensembl_gene_id
Tamm41	ENSMUSG00000030316
Pgs1	ENSMUSG00000017715
Ptpmt1	ENSMUSG00000063235
Crls1	ENSMUSG00000027357
Ddit3	ENSMUSG00000025408
Sirt3	ENSMUSG00000025486
Tafazzin	ENSMUSG00000009995
Lclat1	ENSMUSG00000054469
Pla2g6	ENSMUSG00000042632
Pnpla8	ENSMUSG00000036257
Alox15	ENSMUSG00000018924
Cybb	ENSMUSG00000015340
Cyp2e1	ENSMUSG00000025479
Prelid1	ENSMUSG00000021486
Triap1	ENSMUSG00000029535
Stard7	ENSMUSG00000027367
Acly	ENSMUSG00000020917
Acaca	ENSMUSG00000020532
Fasn	ENSMUSG00000025153
Gpam	ENSMUSG00000024978
Agpat1	ENSMUSG00000034254
Acacb	ENSMUSG00000042010
Agpat2	ENSMUSG00000026922
Gpat2	ENSMUSG00000046338
Gpat3	ENSMUSG00000029314
Gpat4	ENSMUSG00000031545
Tfam	ENSMUSG00000003923
Polg	ENSMUSG00000039176
Tomm20	ENSMUSG00000093904
Dgat1	ENSMUSG00000022555
Dgat2	ENSMUSG00000030747
Acsl1	ENSMUSG00000018796
Acsl3	ENSMUSG00000032883
Plin2	ENSMUSG00000028494
Plin3	ENSMUSG00000024197
Fitm2	ENSMUSG00000048486
Pnpla2	ENSMUSG00000025509
Lipe	ENSMUSG00000003123
Mgll	ENSMUSG00000033174
Lpin1	ENSMUSG00000020593
